,2022-05-04,"Gula,KecapManis,AirMineral,BumbuInstan,MinumanSachet,Sabun"
,2022-05-05,"Rokok Surya 12,Shampoo,BumbuInstan,MinumanSachet,KecapManis,Gula"
,2022-05-06,"Teh,Gula,AirMineral,MieInstan,Rokok Surya 12,Tepung"
,2022-05-07,"Shampoo,Rokok Surya 12,AirMineral,KecapManis,Gula"
,2022-05-08,"MieInstan,Gula,Saus,Shampoo,AirMineral"
,2022-05-09,"MinumanSachet,Kopi,Teh,AirMineral,Rokok Surya 12,Gula"
,2022-05-10,"SusuKaleng,BumbuInstan,Sabun,Rokok Surya 12,KecapManis"
,2022-05-11,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-05-12,"TisuKering,Saus,BumbuInstan,Nutrisari"
,2022-05-13,"Pembalut,CleoBotol,Nutrisari"
,2022-05-14,"CleoBotol,Rokok Surya 12,Nutrisari"
,2022-05-15,"TisuKering,Telur,AirMineral,Nutrisari"
,2022-05-16,"Rokok Samporna 16,Nutrisari"
,2022-05-17,"CleoBotol,Rokok Samporna 16,Larutan,Gula,Nutrisari"
,2022-05-18,"SusuKaleng,KecapManis,Tepung,BumbuInstan,MinumanSachet,Nutrisari"
,2022-05-19,"Tepung,Gula,Rokok Surya 12,MinumanSachet,Saus,Nutrisari"
,2022-05-20,"SusuKaleng,Rokok Surya 12,AirMineral,MieInstan,Gula,Nutrisari"
,2022-05-21,"Telur,Rokok Surya 12,Larutan,Pepsodent,Nutrisari"
,2022-05-22,"Pembalut,PopokBayi,CleoBotol,CleoKardus,Nutrisari"
,2022-05-23,"Sunlight,Sabun,Rokok Surya 12,Sandal,TisuBasah,TisuKering,Nutrisari"
,2022-05-24,"MieInstan,Gula,Saus,Shampoo,AirMineral,Nutrisari"
,2022-05-25,"CleoBotol,Rokok Samporna 16,Larutan,Gula,Nutrisari"
,2022-05-26,"CleoBotol,Rokok Surya 12,Nutrisari"
,2022-05-27,"TisuKering,Telur,AirMineral,Nutrisari"
,2022-05-28,"Sunlight,Shampoo,Gula"
,2022-05-29,"Telur,Minyak,Tepung"
,2022-05-30,"BumbuInstan,Larutan,TisuBasah,CleoKardus"
,2022-05-31,"TisuKering,Saus,BumbuInstan"
,2022-06-01,"Pembalut,CleoBotol"
,2022-06-02,"CleoBotol,Rokok Surya 12"
,2022-06-03,"TisuKering,Telur,AirMineral"
,2022-06-04,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-06-05,"TisuKering,Saus,BumbuInstan"
,2022-06-06,"Pembalut,CleoBotol"
,2022-06-07,"CleoBotol,Rokok Surya 12"
,2022-06-08,"TisuKering,Telur,AirMineral"
,2022-06-09,"SusuKaleng,KecapManis,Tepung,BumbuInstan,MinumanSachet"
,2022-06-10,"Tepung,Gula,Rokok Surya 12,MinumanSachet,Saus"
,2022-06-11,"SusuKaleng,Rokok Surya 12,AirMineral,MieInstan,Gula"
,2022-06-12,"Telur,Rokok Surya 12,Larutan,Pepsodent"
,2022-06-13,"Pembalut,CleoBotol"
,2022-06-14,"CleoBotol,Rokok Surya 12"
,2022-06-15,"TisuKering,Telur,AirMineral"
,2022-06-16,Rokok Samporna 16
,2022-06-17,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
